,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,-33.02,27.91,68.0,94,42,2.24
1,Saint-Philippe,RE,-21.36,55.77,80.6,83,75,19.46
2,Ushuaia,AR,-54.8,-68.3,53.6,71,75,4.7
3,Hithadhoo,MV,-0.6,73.08,83.93,69,1,12.46
4,Henties Bay,NA,-22.12,14.28,61.0,96,0,1.99
5,Guerrero Negro,MX,27.98,-114.06,60.64,81,0,4.09
6,Moranbah,AU,-22.0,148.05,81.66,48,14,20.38
7,Nikolskoye,RU,59.7,30.79,37.0,95,90,11.18
8,Dingle,PH,11.0,122.67,87.03,57,57,12.06
9,Kokkola,FI,63.84,23.13,30.2,80,90,12.75
10,Nemuro,JP,43.32,145.57,42.8,73,40,23.04
11,Upernavik,GL,72.79,-56.15,-15.36,94,100,4.14
12,Port Alfred,ZA,-33.59,26.89,66.99,95,56,7.43
13,Codrington,AU,-38.27,141.97,58.98,72,100,29.19
14,Rabo de Peixe,PT,37.8,-25.58,57.2,87,20,8.05
15,Owerri,NG,5.48,7.03,77.99,90,81,2.06
16,Lebu,CL,-37.62,-73.65,57.25,99,100,2.06
17,Punta Arenas,CL,-53.15,-70.92,50.0,87,86,11.99
18,Inhambane,MZ,-23.86,35.38,75.2,94,20,7.81
19,Cape Town,ZA,-33.93,18.42,62.01,93,75,13.87
20,Inuvik,CA,68.35,-133.72,-9.4,69,20,11.41
21,Chui,UY,-33.7,-53.46,68.09,96,2,4.16
22,Kapaa,US,22.08,-159.32,75.2,83,90,8.05
23,São Filipe,CV,14.9,-24.5,73.51,61,23,11.25
24,Bluff,NZ,-46.6,168.33,61.0,73,7,5.01
25,Kiama,AU,-34.68,150.87,81.0,28,0,8.05
26,Castro,BR,-24.79,-50.01,58.77,99,6,2.01
27,Qaanaaq,GL,77.48,-69.36,-21.41,41,0,4.29
28,Umluj,SA,25.02,37.27,64.76,53,100,9.98
29,San Patricio,MX,19.22,-104.7,74.43,84,67,5.23
30,Anito,PH,12.45,125.29,81.72,69,44,7.4
31,Tshane,BW,-24.02,21.87,74.59,56,42,5.1
32,Mar del Plata,AR,-38.0,-57.56,73.0,88,90,5.82
33,Butaritari,KI,3.07,172.79,83.34,74,50,5.59
34,Cidreira,BR,-30.18,-50.21,76.1,82,0,18.01
35,Adrar,MR,20.5,-10.07,64.18,15,0,8.95
36,Port Lincoln,AU,-34.73,135.87,65.97,69,49,23.2
37,Ngama,TD,11.78,17.17,64.6,26,100,12.97
38,Vaini,TO,-21.2,-175.2,77.0,100,90,10.29
39,Rikitea,PF,-23.12,-134.97,77.02,78,0,17.16
40,Airai,TL,-8.93,125.41,78.26,64,23,6.55
41,Hobart,AU,-42.88,147.33,62.01,87,75,6.93
42,Kirovskiy,RU,45.09,133.51,21.42,65,100,14.9
43,Khatanga,RU,71.97,102.5,-18.04,94,0,8.84
44,Takoradze,GH,4.88,-1.76,77.43,95,29,3.53
45,Sakakah,SA,29.97,40.21,73.4,41,75,25.28
46,Cabadiangan,PH,9.75,122.47,87.03,60,33,4.92
47,Hamilton,US,39.18,-84.53,62.01,87,90,9.17
48,Gamba,GA,-2.65,10.0,78.3,88,100,3.13
49,Gushikawa,JP,26.35,127.87,68.0,82,75,8.05
50,Avarua,CK,-21.21,-159.78,78.8,83,78,8.05
51,Busselton,AU,-33.65,115.33,82.99,26,84,12.64
52,Terrace,CA,54.52,-128.6,32.0,77,40,9.17
53,Barrow,US,71.29,-156.79,21.2,92,90,36.91
54,Concordia,AR,-31.39,-58.02,79.0,70,47,7.0
55,Mayo,US,38.89,-76.51,52.0,100,90,4.7
56,Srednekolymsk,RU,67.45,153.68,-11.43,93,100,12.28
57,Sørland,NO,67.67,12.69,23.0,79,90,28.86
